Country,Year,Criminal_justice,GDP_per_capita,Political_stability,Population,Refugee_population,Unemployment_rate
Iceland,2022,95.2830200195312,75135.0916136358,95.2830200195312,382003.0,5240.0,3.789
Ireland,2010,95.2606658935547,48663.6004439251,84.8341217041016,4560155.0,9099.0,14.534
Ireland,2011,96.2441329956055,52219.7057327581,77.7251205444336,4580084.0,8234.0,15.354
Ireland,2012,94.3661956787109,48943.8206459561,77.7251205444336,4599533.0,6309.0,15.451
Ireland,2013,94.8356781005859,51496.9616850661,75.3554534912109,4623816.0,5991.0,13.735
Ireland,2014,92.788459777832,55752.7649838131,87.1428604125977,4657740.0,5832.0,11.858
Ireland,2015,92.8571395874023,62179.2642662951,77.6190490722656,4701957.0,6108.0,9.908
Ireland,2016,89.0476226806641,62784.0656875694,73.3333358764648,4755335.0,5720.0,8.374
Ireland,2017,88.0952377319336,70150.7370157965,84.2857131958008,4807388.0,6394.0,6.713
Ireland,2018,88.5714263916016,79446.9391085469,85.8490600585938,4867316.0,6012.0,5.741
Ireland,2019,88.0952377319336,80848.3019020489,80.6603775024414,4934340.0,7795.0,4.95
Ireland,2020,89.523811340332,85973.0884875501,80.1886825561523,4985382.0,9035.0,5.623
Ireland,2021,90.476188659668,102001.798249145,75.9433975219727,5033164.0,9571.0,6.364
Ireland,2022,91.5094375610352,103983.29133582,78.301887512207,5127170.0,81256.0,4.501
Italy,2010,63.9810409545898,36035.6449950691,62.5592422485352,59277417.0,56402.0,8.363
Italy,2011,64.3192520141602,38649.6394836789,62.5592422485352,59379449.0,58066.0,8.359
Italy,2012,64.3192520141602,35051.5212697703,63.0331764221191,59539717.0,64782.0,10.655
Italy,2013,63.8497657775879,35560.0814062288,63.9810409545898,60233948.0,76248.0,12.149
Italy,2014,67.788459777832,35565.7213771496,60.476188659668,60789140.0,93712.0,12.683
Italy,2015,63.3333320617676,30242.3861352184,58.5714302062988,60730582.0,118036.0,11.896
Italy,2016,62.8571434020996,30960.7315088902,58.5714302062988,60627498.0,147362.0,11.688
Italy,2017,62.3809509277344,32406.7203150134,57.6190490722656,60536709.0,167330.0,11.211
Italy,2018,60.0,34622.1696664741,57.0754699707031,60421760.0,189227.0,10.61
Italy,2019,60.476188659668,33673.7509627421,58.9622650146484,59729081.0,207602.0,9.952
Italy,2020,57.6190490722656,31922.9191626183,58.0188674926758,59438851.0,128033.0,9.164
Italy,2021,58.0952377319336,36441.0598048734,63.6792449951172,59133173.0,144862.0,9.497
Italy,2022,58.4905662536621,35068.8359738449,60.3773574829102,58940425.0,296181.0,8.069
Kazakhstan,2010,29.3838863372803,9070.48825285747,63.9810409545898,16321872.0,4403.0,5.77
Kazakhstan,2011,30.9859161376953,11633.9985836418,36.0189590454102,16557202.0,613.0,5.39
Kazakhstan,2012,26.7605628967285,12386.6992652963,34.1232223510742,16792090.0,561.0,5.29
Kazakhstan,2013,29.577465057373,13890.6339694612,34.5971565246582,17035551.0,580.0,5.2
Kazakhstan,2014,32.211540222168,12807.2630452048,47.6190490722656,17288285.0,628.0,5.06
Kazakhstan,2015,36.1904754638672,10510.7703240885,43.8095245361328,17542806.0,701.0,4.93
Kazakhstan,2016,32.8571434020996,7714.84184376024,47.6190490722656,17794055.0,647.0,4.96
Kazakhstan,2017,32.8571434020996,9247.58067886159,47.1428565979004,18037776.0,602.0,4.9
Kazakhstan,2018,32.8571434020996,9812.62543137393,44.8113212585449,18276452.0,568.0,4.85
Kazakhstan,2019,32.8571434020996,9812.59552626324,41.5094337463379,18513673.0,518.0,4.8
Kazakhstan,2020,36.1904754638672,9121.63640904156,38.2075462341309,18755666.0,440.0,4.89
